DrawNumber,DrawDate,P1,P2,P3,P4,P5,P6,S1,S2
4131,2021-02-20T00:00:00,9,3,5,41,35,26,45,28
4133,2021-02-27T00:00:00,35,24,45,4,42,6,38,36
4135,2021-03-06T00:00:00,42,26,32,16,39,11,30,6
4137,2021-03-13T00:00:00,27,17,37,15,40,22,2,4
4139,2021-03-20T00:00:00,22,32,13,8,19,9,15,25
4141,2021-03-27T00:00:00,35,4,2,23,12,24,37,15
4143,2021-04-03T00:00:00,41,1,39,31,38,21,6,43
4145,2021-04-10T00:00:00,7,20,42,26,8,22,14,16
4147,2021-04-17T00:00:00,5,33,17,13,44,38,22,35
4149,2021-04-24T00:00:00,32,8,31,44,4,2,36,35
4151,2021-05-01T00:00:00,5,31,14,22,42,18,1,8
4153,2021-05-08T00:00:00,31,4,41,2,9,26,18,25
4155,2021-05-15T00:00:00,19,16,5,41,15,20,4,21
4157,2021-05-22T00:00:00,23,9,27,7,13,6,1,33
4159,2021-05-29T00:00:00,42,2,7,28,16,30,22,35
4161,2021-06-05T00:00:00,24,33,44,1,11,32,20,35
4163,2021-06-12T00:00:00,13,45,5,28,37,15,1,43
4165,2021-06-19T00:00:00,30,40,34,14,41,12,15,27
4167,2021-06-26T00:00:00,34,24,36,32,1,26,7,27
4169,2021-07-03T00:00:00,7,33,2,37,42,27,10,20
4171,2021-07-10T00:00:00,23,22,30,28,38,34,16,20
4173,2021-07-17T00:00:00,30,14,38,32,2,35,45,10
4175,2021-07-24T00:00:00,30,12,26,16,40,27,13,15
4177,2021-07-31T00:00:00,32,41,13,16,33,18,9,19
4179,2021-08-07T00:00:00,28,22,11,12,5,36,1,9
4181,2021-08-14T00:00:00,9,13,19,3,28,24,29,35
4183,2021-08-21T00:00:00,40,34,43,35,6,19,45,22
4185,2021-08-28T00:00:00,17,30,22,23,19,21,43,32
4187,2021-09-04T00:00:00,29,33,14,45,31,44,26,19
4189,2021-09-11T00:00:00,17,34,8,10,26,23,36,41
4191,2021-09-18T00:00:00,5,36,6,15,43,18,24,29
4193,2021-09-25T00:00:00,33,29,36,40,6,28,43,26
4195,2021-10-02T00:00:00,26,13,44,28,17,33,18,38
4197,2021-10-09T00:00:00,22,40,24,18,42,34,37,19
4199,2021-10-16T00:00:00,27,17,2,26,7,38,19,1
4201,2021-10-23T00:00:00,32,16,10,9,26,22,38,17
4203,2021-10-30T00:00:00,32,16,29,26,30,4,43,37
4205,2021-11-06T00:00:00,33,28,15,30,11,39,35,19
4207,2021-11-13T00:00:00,26,40,17,32,22,29,12,21
4209,2021-11-20T00:00:00,25,21,33,20,17,9,4,19
4211,2021-11-27T00:00:00,34,27,5,45,41,3,24,10
4213,2021-12-04T00:00:00,44,8,31,39,45,24,21,41
4215,2021-12-11T00:00:00,39,27,37,35,12,6,19,2
4217,2021-12-18T00:00:00,1,44,36,29,25,19,21,35
4219,2021-12-25T00:00:00,31,6,42,21,30,19,38,15
4221,2021-12-31T00:00:00,32,14,15,8,43,20,35,31
4223,2022-01-08T00:00:00,27,3,29,17,20,24,18,9
4225,2022-01-15T00:00:00,38,3,11,19,42,33,13,39
4227,2022-01-22T00:00:00,39,12,14,1,21,43,19,32
4229,2022-01-29T00:00:00,9,8,34,23,40,22,17,13
4231,2022-02-05T00:00:00,22,9,10,11,2,37,6,40
